FlightId	ProcessingTimeUtc	AirlineCode	FlightNumber	SchedDepAirportCode	SchedArrAirportCode	SchedDepartureUtc	SchedArrivalUtc	SchedDepartureLocal	SchedArrivalLocal	Status	DiversionStatus	RecoveryExists	OpAirlineCode	OpFlightNumber	AltDepAirportCode	AltArrAirportCode	OutGateLocal	OutGateUtc	OutGateAccuracy	OutGateSource	InAirLocal	InAirUtc	InAirAccuracy	InAirSource	LandedLocal	LandedUtc	LandedAccuracy	LandedSource	InGateLocal	InGateUtc	InGateAccuracy	InGateSource	DepTerminal	DepGate	CheckinCounter	ArrTerminal	ArrGate	Baggage	SvcType	AircraftType	OptionalEquipment	WeightClass	Unscheduled	SeqNumber	NumLegs	DepAirportCountryId	ArrAirportCountryId	TailNumber	RegAirlineCode	RegFlightNumber	DepScheduleStatus	ArrScheduleStatus	OriginationDateLocal	OriginationDateUtc	DomIntDep	DomIntArr	PrevFltAirlineCode	PrevFltNumber	PrevFltSchedArrLocal	PrevFltSchedArrUtc	PrevFltMethod	Suffix	AircraftOwner	IsGeneralAviation	SchedDepAptNS	SchedArrAptNS	AltDepAptNS	AltArrAptNS	DepDelayCode	ArrDelayCode	UpStreamLegs	DownStreamLegs	NewToFlightWindow	StatusChange	PreviousStatus	DiversionStatusChange	PreviousDiversionStatus	OutGateUtcChange	PreviousOutGateUtc	PreviousOutGateLocal	InAirUtcChange	PreviousInAirUtc	PreviousInAirLocal	LandingUtcChange	PreviousLandingUtc	PreviousLandingLocal	InGateUtcChange	PreviousInGateUtc	PreviousInGateLocal	DepGateChange	PreviousDepGate	DepTerminalChange	PreviousDepTerminal	ArrGateChange	PreviousArrGate	ArrTerminalChange	PreviousArrTerminal	BaggageChange	PreviousBaggage	AircraftTypeChange	PreviousAircraftType	TailNumberChange	PreviousTailNumber	PrevFltChange	PreviousPrevFltAirlineCode	PreviousPrevFltNumber	OtherChange
AA3786ORDBNA04132330	2017-04-13 20:28:00	AA	3786	ORD	BNA	2017-04-13 23:30	2017-04-14 00:56	2017-04-13 18:30	2017-04-13 19:56	Scheduled		N																					T3	G7			C14		J	CR7				1	1	US	US	N520DC	MQ	3786			2017-04-13	2017-04-13			AA	3390	2017-04-13 17:29	2017-04-13 22:29	T		MQ		I	I			06	06																								Y													
AS521SNASEA04131850	2017-04-13 20:28:00	AS	521	SNA	SEA	2017-04-13 18:50	2017-04-13 21:38	2017-04-13 11:50	2017-04-13 14:38	InAir		N					2017-04-13 12:15	2017-04-13 19:15	Actual	AirlineData	2017-04-13 12:26	2017-04-13 19:26	Actual	AirlineData	2017-04-13 14:38	2017-04-13 21:38	Estimated	FlightViewData	2017-04-13 14:46	2017-04-13 21:46	Estimated	AirlineData		6			C11		J	B738		L		1	1	US	US	N577AS					2017-04-13	2017-04-13			AS	506	2017-04-13 10:57	2017-04-13 17:57	T				I	I																		Y	2017-04-13 21:36	2017-04-13 14:36																					
AA1599DFWSNA04131730	2017-04-13 20:28:00	AA	1599	DFW	SNA	2017-04-13 17:30	2017-04-13 20:45	2017-04-13 12:30	2017-04-13 13:45	InAir		N					2017-04-13 12:27	2017-04-13 17:27	Actual	AirlineData	2017-04-13 12:41	2017-04-13 17:41	Actual	AirlineData	2017-04-13 13:33	2017-04-13 20:33	Estimated	FlightViewData	2017-04-13 13:39	2017-04-13 20:39	Estimated	AirlineData	A	A22		A	7	1	J	B738		L		1	2	US	US	N964NN					2017-04-13	2017-04-13			AA	2274	2017-04-13 11:15	2017-04-13 16:15	T				I	I			06	06		DFW												Y	2017-04-13 20:32	2017-04-13 13:32																					
F9802DENMEM04131903	2017-04-13 20:28:00	F9	802	DEN	MEM	2017-04-13 19:03	2017-04-13 21:20	2017-04-13 13:03	2017-04-13 16:20	InAir		N					2017-04-13 12:58	2017-04-13 18:58	Actual	AirlineData	2017-04-13 13:12	2017-04-13 19:12	Actual	AirlineData	2017-04-13 16:03	2017-04-13 21:03	Estimated	FlightViewData	2017-04-13 16:07	2017-04-13 21:07	Estimated	AirlineData		A40			C7		J	A320		L		1	1	US	US	N238FR				AE	2017-04-13	2017-04-13			F9	770	2017-04-13 12:18	2017-04-13 18:18	T				I	I																		Y	2017-04-13 21:04	2017-04-13 16:04																					
D7221SYDKUL04131125	2017-04-13 20:28:00	D7	221	SYD	KUL	2017-04-13 11:25	2017-04-13 20:00	2017-04-13 21:25	2017-04-14 04:00	InGate		N					2017-04-13 21:25	2017-04-13 11:25	Actual	AirlineData									2017-04-14 04:00	2017-04-13 20:00	Actual	AirlineData	1			2	P4		J	330				1	1	AU	MY	9MXXU					2017-04-13	2017-04-13											I	I			06	06				Y	Unknown			Y									Y							Y													
AA416SFOCLT04131800	2017-04-13 20:28:00	AA	416	SFO	CLT	2017-04-13 18:00	2017-04-13 23:08	2017-04-13 11:00	2017-04-13 19:08	InAir		N					2017-04-13 11:18	2017-04-13 18:18	Actual	AirlineData	2017-04-13 11:39	2017-04-13 18:39	Actual	AirlineData	2017-04-13 18:54	2017-04-13 22:54	Estimated	FlightViewData	2017-04-13 19:16	2017-04-13 23:16	Estimated	AirlineData	1	45A			C12	C	J	A321		L		1	2	US	US	N920US					2017-04-13	2017-04-13			AA	662	2017-04-13 09:59	2017-04-13 16:59	T				I	I			06	06		FLL												Y	2017-04-13 22:56	2017-04-13 18:56																					
DL2199ATLDEN04131659	2017-04-13 20:28:00	DL	2199	ATL	DEN	2017-04-13 16:59	2017-04-13 20:20	2017-04-13 12:59	2017-04-13 14:20	InAir		N					2017-04-13 14:04	2017-04-13 18:04	Actual	AirlineData	2017-04-13 14:23	2017-04-13 18:23	Actual	AirlineData	2017-04-13 15:08	2017-04-13 21:08	Estimated	FlightViewData	2017-04-13 15:16	2017-04-13 21:16	Estimated	AirlineData	S	A19			A31		J	B752		L		1	2	US	US	N696DL					2017-04-13	2017-04-13			DL	2155	2017-04-13 12:51	2017-04-13 16:51	T				I	I			06	06		ATL												Y	2017-04-13 21:07	2017-04-13 15:07																					
AS3342SANSMF04131910	2017-04-13 20:28:00	AS	3342	SAN	SMF	2017-04-13 19:10	2017-04-13 20:47	2017-04-13 12:10	2017-04-13 13:47	InAir		N					2017-04-13 12:00	2017-04-13 19:00	Actual	AirlineData	2017-04-13 12:15	2017-04-13 19:15	Actual	AirlineData	2017-04-13 13:29	2017-04-13 20:29	Estimated	FlightViewData	2017-04-13 13:29	2017-04-13 20:29	Estimated	AirlineData	1	18		B	B9		J	E75L		L		1	1	US	US	N182SY	OO	3342			2017-04-13	2017-04-13			AS	3396	2017-04-13 10:00	2017-04-13 17:00	T		OO		I	I																		Y	2017-04-13 20:27	2017-04-13 13:27																					
DL2199DENATL04132115	2017-04-13 20:28:00	DL	2199	DEN	ATL	2017-04-13 21:15	2017-04-14 00:13	2017-04-13 15:15	2017-04-13 20:13	Delayed		N					2017-04-13 15:59	2017-04-13 21:59	Estimated	AirlineData									2017-04-13 20:48	2017-04-14 00:48	Estimated	AirlineData		A31		S	A10		J	B752		L		2	2	US	US	N696DL					2017-04-13	2017-04-13			DL	2199	2017-04-13 14:20	2017-04-13 20:20	T				I	I			06	06	ATL																													Y	757						Y
G4497DSMLAS04131847	2017-04-13 20:28:00	G4	497	DSM	LAS	2017-04-13 18:47	2017-04-13 21:56	2017-04-13 13:47	2017-04-13 14:56	InAir		N					2017-04-13 13:28	2017-04-13 18:28	Actual	AirlineData	2017-04-13 13:37	2017-04-13 18:37	Actual	FlightViewData	2017-04-13 14:17	2017-04-13 21:17	Estimated	FlightViewData	2017-04-13 14:16	2017-04-13 21:16	Estimated	AirlineData		A1		1	B6		J	MD83		L		1	1	US	US						2017-04-13	2017-04-13											I	I																		Y	2017-04-13 21:19	2017-04-13 14:19																					
